link,target_absolute_phi_deg,initial_absolute_phi_deg,gic_step_deg,initial_QC_rad,initial_QS_rad,initial_q_rad,initial_CP_q2_angstrom,initial_CP_phi2_deg,initial_CP_x_angstrom,initial_CP_y_angstrom,start_pucker_label,start_pucker_phi_deg,start_pucker_mode,start_pucker_cartesian_phase_deg,start_pucker_q_angstrom,phase_convention,constraint_mode
11,100.0,296.4875552906885,163.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
12,110.0,296.4875552906885,173.51244470931152,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
13,120.0,296.4875552906885,-176.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
14,130.0,296.4875552906885,-166.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
15,140.0,296.4875552906885,-156.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
16,150.0,296.4875552906885,-146.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
17,160.0,296.4875552906885,-136.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
18,170.0,296.4875552906885,-126.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
19,180.0,296.4875552906885,-116.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
20,190.0,296.4875552906885,-106.48755529068848,0.47171357124818253,-0.9466258981596933,1.0576456326985708,0.377324839397194,62.538721845422764,0.17400298930235578,0.3348088919666897,E2,72.0,gic,,,Prelog ring order; phi=0 is the E1 envelope,functional-targets
